Home,Away,Win,Draw,Lose,Prediction
Huddersfield,Liverpool,0.77837497,0.13474147,0.086883515,W
Brighton,Bournemouth,0.94968516,0.030598713,0.01971607,W
Chelsea,Leicester,0.54156935,0.32889414,0.12953648,W
Liverpool,Swansea,0.78103876,0.13546883,0.08349241,W
Chelsea,Bournemouth,0.5693983,0.23545621,0.1951455,W
Chelsea,Crystal Palace,0.68185437,0.20359226,0.11455339,W
Newcastle United,Manchester United,0.47755665,0.25598747,0.2664559,W
West Bromwich Albion,Bournemouth,0.5713919,0.13940443,0.2892037,W
Manchester United,Leicester,0.7406908,0.17377682,0.08553233,W
Crystal Palace,Liverpool,0.13409306,0.24595529,0.61995167,L
Arsenal,Swansea,0.79730266,0.145905,0.056792285,W
Leicester,Liverpool,0.17183268,0.16928221,0.65888506,L
Bournemouth,Liverpool,0.237066,0.29356894,0.46936512,L
Manchester City,Liverpool,0.6048362,0.24375953,0.15140428,W
Stoke,West Bromwich Albion,0.5991183,0.25465593,0.14622578,W
Everton,Manchester City,0.16360986,0.14980046,0.68658966,L
Manchester City,Crystal Palace,0.73092145,0.21969917,0.04937933,W
Liverpool,Burnley,0.6283303,0.2757197,0.095949955,W
Watford,Liverpool,0.27579477,0.34324434,0.38096085,L
Leicester,Watford,0.5887849,0.2023473,0.20886785,W
Bournemouth,Everton,0.43995976,0.2837692,0.27627108,W
Southampton,Stoke,0.39665774,0.25926766,0.3440746,W
Burnley,Southampton,0.44974473,0.28163934,0.26861587,W
Leicester,Arsenal,0.2491797,0.18002263,0.5707977,L
Bournemouth,Stoke,0.42943573,0.2896391,0.2809252,W
Arsenal,Manchester City,0.28079015,0.046054695,0.6731551,L
Watford,West Bromwich Albion,0.48650193,0.32981977,0.18367828,W
Manchester City,Brighton,0.8320895,0.052445706,0.115464784,W
Crystal Palace,Newcastle United,0.3778484,0.45561355,0.16653806,D
Crystal Palace,Manchester United,0.43337864,0.1543073,0.41231403,W
Brighton,Swansea,0.9096277,0.07107078,0.019301549,W
