Home,Away,Win,Draw,Lose,Prediction
Liverpool,Leicester,0.5397725,0.30115005,0.15907745,W
Brighton,Chelsea,0.61389923,0.17464936,0.21145138,W
Huddersfield,Leicester,0.91117406,0.0711916,0.017634392,W
Newcastle United,Tottenham,0.13688105,0.238813,0.62430596,L
Tottenham,Chelsea,0.22039421,0.18219323,0.5974126,L
Newcastle United,Chelsea,0.3095396,0.16555026,0.52491015,L
Crystal Palace,Swansea,0.53560066,0.1662133,0.29818606,W
West Ham,Brighton,0.19805694,0.20868804,0.59325504,L
Bournemouth,Swansea,0.65396005,0.22722223,0.11881771,W
Tottenham,Liverpool,0.75347036,0.1380814,0.108448215,W
Arsenal,Burnley,0.7532249,0.18269347,0.064081565,W
Brighton,Burnley,0.4883263,0.30793586,0.20373788,W
Leicester,Chelsea,0.16438615,0.1985682,0.6370456,L
Arsenal,Bournemouth,0.81673896,0.11829687,0.06496415,W
Southampton,Swansea,0.30493656,0.35891473,0.33614868,D
Liverpool,Arsenal,0.401554,0.22499517,0.37345085,W
Everton,Crystal Palace,0.46331462,0.2782443,0.25844106,W
Newcastle United,Southampton,0.425249,0.35640222,0.21834873,W
Bournemouth,West Ham,0.36273605,0.42694554,0.21031842,D
West Ham,Crystal Palace,0.45499933,0.30629224,0.23870848,W
Everton,Manchester United,0.3493407,0.18899284,0.46166646,L
Liverpool,Manchester City,0.41865453,0.15925431,0.4220912,L
Tottenham,Southampton,0.78754383,0.12819308,0.08426309,W
Huddersfield,West Ham,0.93647975,0.04195366,0.021566577,W
Leicester,Huddersfield,0.1078292,0.21489185,0.677279,L
Swansea,Arsenal,0.32020846,0.22568455,0.45410696,L
Chelsea,Brighton,0.64426476,0.23575471,0.11998054,W
Arsenal,Crystal Palace,0.60726756,0.27964187,0.1130906,W
Manchester United,Liverpool,0.55270827,0.27726847,0.17002326,W
Huddersfield,Bournemouth,0.7807215,0.16366729,0.0556112,W
Chelsea,Arsenal,0.31475663,0.4037655,0.28147787,D
Burnley,West Bromwich Albion,0.2949767,0.32645532,0.37856796,L
Everton,Arsenal,0.1737158,0.2576154,0.5686688,L
Arsenal,Newcastle United,0.8072902,0.15487406,0.0378358,W
Newcastle United,Crystal Palace,0.56666064,0.18716623,0.24617313,W
Chelsea,Everton,0.58121943,0.25504684,0.16373372,W
Everton,Bournemouth,0.45724213,0.1832008,0.35955712,W
Southampton,West Bromwich Albion,0.49668497,0.26989365,0.23342139,W
Southampton,Watford,0.4138534,0.23251265,0.3536339,W
Southampton,Huddersfield,0.33215663,0.40408877,0.2637546,D
Bournemouth,Watford,0.3744444,0.252065,0.37349063,W
Stoke,Arsenal,0.18544944,0.3077156,0.506835,L
Burnley,Manchester United,0.15885589,0.19988237,0.64126176,L
Huddersfield,Burnley,0.5300187,0.23257926,0.237402,W
Chelsea,West Bromwich Albion,0.7311537,0.17368959,0.0951567,W
Bournemouth,Newcastle United,0.42424017,0.37489265,0.20086715,W
Leicester,Bournemouth,0.43137687,0.27591205,0.29271102,W
Burnley,Manchester City,0.14146096,0.23391841,0.6246207,L
Stoke,Everton,0.41614428,0.25607434,0.32778135,W
Brighton,West Ham,0.52608144,0.2688897,0.20502886,W
Huddersfield,Crystal Palace,0.5525813,0.22980188,0.21761678,W
Crystal Palace,Tottenham,0.1532716,0.2968002,0.5499282,L
Manchester City,Chelsea,0.8741662,0.05691984,0.06891396,W
West Ham,Burnley,0.35018942,0.3028924,0.3469182,W
Chelsea,Stoke,0.71912235,0.21471995,0.066157706,W
Everton,West Bromwich Albion,0.29035863,0.37739682,0.33224458,D
Manchester United,West Ham,0.78103876,0.13546883,0.08349241,W
Huddersfield,Newcastle United,0.5628642,0.32314807,0.11398777,W
Crystal Palace,Southampton,0.45587665,0.1826537,0.3614697,W
Swansea,Leicester,0.4388307,0.175824,0.38534528,W
Manchester City,Bournemouth,0.75351965,0.14923942,0.09724096,W
Stoke,Manchester United,0.17014663,0.20907487,0.62077844,L
Chelsea,Watford,0.61384434,0.20606191,0.18009372,W
Huddersfield,Manchester United,0.36877796,0.23093462,0.4002874,L
Stoke,Bournemouth,0.5564236,0.12908654,0.31448987,W
Huddersfield,Southampton,0.46082592,0.2746488,0.26452526,W
Leicester,Brighton,0.5024308,0.2172346,0.28033462,W
Everton,Stoke,0.48650193,0.32981977,0.18367828,W
Manchester City,Leicester,0.9391747,0.039185792,0.021639537,W
Everton,Brighton,0.48593745,0.2604799,0.25358266,W
Tottenham,West Ham,0.658241,0.28514394,0.056615055,W
Everton,Leicester,0.44493553,0.29170483,0.26335967,W
Huddersfield,Stoke,0.48223105,0.30782235,0.20994659,W
Crystal Palace,Burnley,0.55011284,0.17471501,0.27517214,W
Arsenal,Chelsea,0.43391815,0.37159568,0.1944862,W
Newcastle United,Leicester,0.42908284,0.24916832,0.32174888,W
Tottenham,Stoke,0.76997584,0.18352406,0.046500117,W
Stoke,Newcastle United,0.4781405,0.2778046,0.24405482,W
Manchester United,Swansea,0.7680283,0.186284,0.04568769,W
Tottenham,Manchester United,0.5942262,0.090226516,0.3155473,W
Leicester,Southampton,0.5370861,0.27884245,0.1840714,W
Crystal Palace,Leicester,0.45450214,0.17579986,0.369698,W
Leicester,West Bromwich Albion,0.4641705,0.35995877,0.17587073,W
Everton,Burnley,0.48157164,0.29154482,0.22688356,W
Southampton,Leicester,0.32249483,0.22335045,0.45415476,L
Crystal Palace,Watford,0.500783,0.25183186,0.24738511,W
Bournemouth,Brighton,0.4769073,0.25372335,0.26936927,W
Newcastle United,Bournemouth,0.4685007,0.2505341,0.28096515,W
Bournemouth,Burnley,0.34136754,0.22979863,0.4288338,L
Watford,Tottenham,0.12053864,0.48268023,0.39678115,D
Huddersfield,Brighton,0.5379869,0.28621882,0.17579427,W
West Bromwich Albion,Manchester United,0.1823491,0.12717552,0.69047534,L
Southampton,Manchester United,0.1450879,0.21882454,0.63608754,L
Watford,Stoke,0.3751093,0.23944333,0.38544735,L
Burnley,Tottenham,0.16230233,0.23620644,0.6014913,L
Crystal Palace,Chelsea,0.4354101,0.17857204,0.38601786,W
Huddersfield,Everton,0.4110218,0.27724198,0.31173623,W
Manchester City,Swansea,0.73092145,0.21969917,0.04937933,W
Brighton,Manchester United,0.18909185,0.15504882,0.65585935,L
West Ham,West Bromwich Albion,0.48650193,0.32981977,0.18367828,W
Arsenal,Tottenham,0.4877667,0.3154308,0.19680253,W
Manchester United,Chelsea,0.4661612,0.366419,0.16741987,W
Swansea,Brighton,0.28252158,0.2422859,0.4751925,L
Manchester City,Manchester United,0.25637242,0.43161792,0.3120097,D
West Ham,Newcastle United,0.4387102,0.27641642,0.28487334,W
Swansea,Tottenham,0.3200257,0.18862851,0.49134585,L
Southampton,Crystal Palace,0.45910335,0.22070396,0.32019264,W
Southampton,Everton,0.48214582,0.24686754,0.27098668,W
Manchester United,Arsenal,0.43391815,0.37159568,0.1944862,W
Watford,Crystal Palace,0.3648859,0.3583693,0.2767448,W
Leicester,Crystal Palace,0.5881093,0.1974229,0.21446778,W
Brighton,Southampton,0.1890666,0.39347646,0.41745692,L
Watford,Huddersfield,0.4961194,0.26202893,0.24185172,W
Brighton,Watford,0.53182787,0.13833062,0.32984152,W
West Bromwich Albion,Manchester City,0.05196066,0.07910719,0.8689321,L
Leicester,Manchester City,0.08995642,0.065727584,0.844316,L
West Bromwich Albion,Newcastle United,0.358326,0.4119209,0.22975308,D
West Bromwich Albion,Chelsea,0.13793826,0.22433259,0.6377291,L
Stoke,Swansea,0.46466827,0.3100697,0.22526199,W
Newcastle United,Everton,0.4681018,0.24157977,0.2903184,W
Huddersfield,Tottenham,0.3236936,0.19253002,0.48377633,L
Stoke,Chelsea,0.2415779,0.180225,0.57819706,L
West Ham,Arsenal,0.34194472,0.25168368,0.40637156,L
Burnley,Stoke,0.5379869,0.28621882,0.17579427,W
Stoke,Burnley,0.44735673,0.2415638,0.31107953,W
Liverpool,Stoke,0.4709545,0.3316917,0.19735381,W
Manchester City,West Bromwich Albion,0.90511614,0.07747692,0.017406974,W
Brighton,Liverpool,0.4346016,0.22079791,0.34460047,W
Burnley,Everton,0.58571357,0.18517871,0.22910772,W
Southampton,Manchester City,0.073348776,0.0686733,0.8579779,L
Manchester United,Watford,0.79046756,0.14583255,0.06369986,W
Chelsea,Liverpool,0.8126067,0.12096429,0.066429004,W
Brighton,Arsenal,0.3814517,0.26425084,0.3542974,W
Chelsea,Newcastle United,0.7790676,0.18896157,0.031970832,W
Swansea,Southampton,0.4095005,0.3387635,0.25173602,W
West Bromwich Albion,Tottenham,0.20700641,0.19978835,0.5932053,L
Swansea,Chelsea,0.15153855,0.14785415,0.7006073,L
West Bromwich Albion,Swansea,0.43088943,0.37327665,0.1958339,W
Huddersfield,Chelsea,0.14653115,0.23744842,0.6160204,L
West Ham,Tottenham,0.13292019,0.22847164,0.63860816,L
Chelsea,Manchester City,0.10025176,0.016443113,0.8833051,L
Everton,Chelsea,0.33080095,0.3479251,0.32127392,D
West Ham,Manchester United,0.30840066,0.2706631,0.42093626,L
Liverpool,Southampton,0.6044649,0.26597434,0.1295608,W
Watford,West Ham,0.50311106,0.21752872,0.2793602,W
Watford,Manchester United,0.26424852,0.18016747,0.555584,L
Brighton,Crystal Palace,0.5042011,0.28130406,0.21449485,W
West Ham,Stoke,0.4201284,0.357303,0.22256857,W
Manchester United,Tottenham,0.37401596,0.3688482,0.2571359,W
Tottenham,Bournemouth,0.85277456,0.09503551,0.0521899,W
Manchester City,Tottenham,0.7734051,0.13782644,0.08876852,W
Crystal Palace,West Ham,0.38489094,0.45261857,0.16249049,D
Burnley,Leicester,0.47127217,0.26236543,0.2663624,W
Tottenham,Watford,0.75286704,0.17136459,0.075768396,W
Bournemouth,Crystal Palace,0.589887,0.25885028,0.15126272,W
Swansea,Bournemouth,0.32834572,0.3101858,0.36146843,L
Manchester City,Watford,0.8440444,0.094428316,0.0615273,W
Swansea,Stoke,0.4239328,0.25312287,0.32294437,W
Swansea,Crystal Palace,0.45879588,0.2694198,0.27178437,W
Southampton,Brighton,0.46082592,0.2746488,0.26452526,W
Bournemouth,Huddersfield,0.51617384,0.2183991,0.26542705,W
Tottenham,West Bromwich Albion,0.56705636,0.35163814,0.081305526,W
Newcastle United,Huddersfield,0.4696421,0.24985813,0.28049985,W
Newcastle United,Watford,0.39326188,0.3204662,0.28627193,W
Watford,Burnley,0.46447417,0.2964876,0.23903817,W
Southampton,Bournemouth,0.4593644,0.25573617,0.28489944,W
Liverpool,West Bromwich Albion,0.71628463,0.24181332,0.041901994,W
Liverpool,Huddersfield,0.7874412,0.18768694,0.02487183,W
Burnley,Newcastle United,0.52317417,0.19534731,0.28147855,W
Stoke,West Ham,0.5673017,0.18017417,0.2525241,W
Crystal Palace,Everton,0.47017634,0.3056972,0.2241264,W
Crystal Palace,Bournemouth,0.4436862,0.371822,0.18449184,W
Manchester United,Newcastle United,0.6256176,0.2100141,0.16436827,W
West Bromwich Albion,Crystal Palace,0.11431274,0.6126843,0.27300295,D
Manchester City,Arsenal,0.65038216,0.15814662,0.1914712,W
Arsenal,Huddersfield,0.56293905,0.25877616,0.17828478,W
Swansea,Watford,0.3585113,0.26606888,0.37541983,L
Swansea,Manchester City,0.19660401,0.35742444,0.4459715,L
Watford,Arsenal,0.29680973,0.2146589,0.48853135,L
Bournemouth,Leicester,0.4656726,0.2598082,0.27451915,W
Newcastle United,West Bromwich Albion,0.31682283,0.3568413,0.32633594,D
Stoke,Tottenham,0.15514444,0.1710281,0.67382747,L
Bournemouth,Southampton,0.48358062,0.29041505,0.22600435,W
Everton,Huddersfield,0.3900129,0.21461147,0.39537558,L
Tottenham,Leicester,0.80359334,0.1399654,0.056441262,W
Liverpool,West Ham,0.67001265,0.08959802,0.24038933,W
West Ham,Chelsea,0.27846822,0.25031573,0.47121605,L
Brighton,Stoke,0.36384737,0.4282536,0.20789903,D
Southampton,Burnley,0.47986063,0.2923201,0.22781931,W
Arsenal,Southampton,0.7599454,0.15434346,0.08571109,W
Chelsea,West Ham,0.5625783,0.2869459,0.15047573,W
Manchester United,Brighton,0.5300187,0.23257926,0.237402,W
Crystal Palace,Brighton,0.50942284,0.28421736,0.20635985,W
Leicester,Everton,0.5025887,0.25273988,0.24467145,W
Leicester,Burnley,0.45633295,0.11507798,0.4285891,W
Bournemouth,Manchester United,0.41499317,0.23622009,0.34878677,W
Tottenham,Manchester City,0.21082446,0.04190722,0.7472683,L
Everton,Watford,0.47398028,0.18990718,0.33611256,W
Tottenham,Newcastle United,0.78557724,0.11721078,0.097212024,W
Newcastle United,Liverpool,0.1404104,0.30980983,0.5497798,L
Burnley,Swansea,0.4542791,0.23528956,0.31043133,W
Brighton,Leicester,0.46219742,0.24589744,0.29190513,W
Arsenal,Brighton,0.7711243,0.18379779,0.04507792,W
West Ham,Manchester City,0.12977383,0.16162108,0.7086051,L
Crystal Palace,West Bromwich Albion,0.32341513,0.32210866,0.35447618,L
Arsenal,Manchester United,0.44000006,0.29308847,0.26691142,W
Liverpool,Everton,0.67990416,0.26773852,0.052357327,W
Watford,Newcastle United,0.638159,0.28003266,0.081808336,W
West Bromwich Albion,Huddersfield,0.24794814,0.3398032,0.4122487,L
Southampton,West Ham,0.41610044,0.3355633,0.24833624,W
Swansea,West Bromwich Albion,0.4601759,0.274763,0.26506114,W
Burnley,Bournemouth,0.40739173,0.21415235,0.37845594,W
Stoke,Crystal Palace,0.35261467,0.26457682,0.38280857,L
Everton,West Ham,0.6404878,0.2042999,0.15521233,W
Tottenham,Brighton,0.75894827,0.19818409,0.04286763,W
Stoke,Southampton,0.46686926,0.26282352,0.27030718,W
Swansea,Everton,0.43115553,0.2549881,0.31385633,W
Arsenal,Stoke,0.6979253,0.27483505,0.027239628,W
Manchester City,West Ham,0.9392186,0.04367804,0.017103346,W
Leicester,Tottenham,0.19910392,0.2817805,0.51911557,L
Burnley,Watford,0.33046567,0.19877787,0.4707564,L
Arsenal,West Ham,0.7529826,0.08787493,0.1591425,W
West Ham,Leicester,0.54181373,0.2169373,0.24124894,W
Huddersfield,West Bromwich Albion,0.56906605,0.086187124,0.34474683,W
Southampton,Chelsea,0.31356868,0.18294977,0.5034815,L
Leicester,Manchester United,0.31061187,0.18299837,0.50638974,L
West Bromwich Albion,Burnley,0.36452127,0.2931195,0.3423593,W
Crystal Palace,Stoke,0.6574394,0.22668397,0.11587663,W
West Ham,Liverpool,0.121190816,0.11548405,0.7633251,L
Brighton,Huddersfield,0.17846009,0.575533,0.24600695,D
Everton,Southampton,0.37405786,0.3079883,0.31795388,W
Everton,Liverpool,0.07189904,0.48075372,0.4473473,D
Tottenham,Crystal Palace,0.5709167,0.26431865,0.16476461,W
Huddersfield,Manchester City,0.06308745,0.0895085,0.84740406,L
West Ham,Everton,0.40739173,0.21415235,0.37845594,W
Stoke,Watford,0.40867156,0.2910057,0.30032277,W
Huddersfield,Watford,0.49904102,0.23990312,0.2610558,W
Brighton,Everton,0.14931238,0.589156,0.26153168,D
Southampton,Newcastle United,0.4440335,0.2269535,0.329013,W
Brighton,Tottenham,0.2528763,0.25947127,0.4876524,L
Arsenal,Liverpool,0.32859892,0.44329005,0.22811103,D
Chelsea,Swansea,0.57943153,0.2525761,0.16799231,W
Burnley,Arsenal,0.12789239,0.20845188,0.6636557,L
Manchester United,Bournemouth,0.76817334,0.1831649,0.04866176,W
Swansea,Huddersfield,0.47742298,0.25273827,0.2698388,W
Chelsea,Tottenham,0.28680363,0.12919606,0.5840003,L
Liverpool,Bournemouth,0.7369766,0.22221912,0.04080422,W
Burnley,West Ham,0.39128217,0.40403232,0.20468552,D
Watford,Everton,0.5081103,0.25904477,0.23284496,W
Manchester City,Southampton,0.8691779,0.059176236,0.071645826,W
Leicester,West Ham,0.4232009,0.2204523,0.3563468,W
Huddersfield,Arsenal,0.16655004,0.293234,0.54021597,L
Southampton,Arsenal,0.18191385,0.3018853,0.51620084,L
Manchester City,Huddersfield,0.6046946,0.3108768,0.08442858,W
Manchester United,Manchester City,0.14445135,0.08029426,0.7752544,L
Stoke,Liverpool,0.34027573,0.18301103,0.4767132,L
Liverpool,Brighton,0.83235884,0.110034786,0.05760637,W
Arsenal,Everton,0.76354015,0.19790186,0.038557943,W
West Bromwich Albion,Liverpool,0.14948247,0.16718237,0.6833351,L
Everton,Newcastle United,0.57297516,0.17781176,0.24921308,W
Manchester City,Stoke,0.8800507,0.09162955,0.028319726,W
West Ham,Swansea,0.47683358,0.3119927,0.21117368,W
Newcastle United,Arsenal,0.24700615,0.20183998,0.55115384,L
Manchester United,Crystal Palace,0.5152889,0.20450458,0.28020653,W
Chelsea,Manchester United,0.8250252,0.0946875,0.08028726,W
West Bromwich Albion,Watford,0.57243675,0.2918397,0.13572353,W
Manchester United,West Bromwich Albion,0.51911914,0.22779639,0.25308448,W
Chelsea,Huddersfield,0.75894827,0.19818409,0.04286763,W
Liverpool,Manchester United,0.52496314,0.24568206,0.22935481,W
Burnley,Brighton,0.39369282,0.52158237,0.08472484,D
Bournemouth,Arsenal,0.16601363,0.21702658,0.61695975,L
Liverpool,Chelsea,0.3352033,0.4414062,0.22339049,D
Leicester,Newcastle United,0.4992289,0.29981264,0.20095849,W
Watford,Bournemouth,0.4964635,0.33249468,0.17104183,W
Stoke,Leicester,0.34894285,0.47892255,0.17213465,D
Leicester,Stoke,0.44794938,0.30703625,0.24501441,W
West Bromwich Albion,Leicester,0.31959513,0.2210655,0.45933938,L
Liverpool,Tottenham,0.45197013,0.331498,0.21653184,W
Bournemouth,Tottenham,0.12765817,0.19982888,0.67251295,L
Tottenham,Arsenal,0.56692904,0.22955628,0.20351467,W
Crystal Palace,Manchester City,0.10588239,0.39044225,0.5036754,L
Brighton,Manchester City,0.080242254,0.06455436,0.8552034,L
Everton,Tottenham,0.12329562,0.22717369,0.64953065,L
Watford,Brighton,0.48863465,0.28174412,0.22962125,W
Tottenham,Swansea,0.76883435,0.18325198,0.04791369,W
Burnley,Huddersfield,0.45390356,0.32118246,0.22491398,W
Arsenal,Leicester,0.5330308,0.24603282,0.22093636,W
Huddersfield,Swansea,0.54219484,0.18633571,0.27146944,W
West Bromwich Albion,Everton,0.4351386,0.34990442,0.21495698,W
Swansea,Liverpool,0.34027573,0.18301103,0.4767132,L
Newcastle United,Brighton,0.22051957,0.61274046,0.16674002,D
Newcastle United,Swansea,0.12218063,0.45610824,0.4217111,D
Newcastle United,Burnley,0.37233064,0.44896019,0.17870916,D
Crystal Palace,Arsenal,0.2723967,0.10062274,0.6269805,L
Watford,Swansea,0.40379775,0.23282762,0.36337462,W
West Bromwich Albion,Brighton,0.68070436,0.11994345,0.19935215,W
Manchester United,Burnley,0.50689864,0.28280905,0.21029234,W
Stoke,Huddersfield,0.55648816,0.1912479,0.25226396,W
Chelsea,Burnley,0.5286704,0.23044914,0.2408805,W
Manchester City,Everton,0.73851246,0.22984962,0.031637877,W
Manchester City,Burnley,0.91117406,0.0711916,0.017634392,W
Newcastle United,Stoke,0.6661335,0.15995933,0.17390716,W
Burnley,Crystal Palace,0.5041965,0.28268608,0.21311744,W
Bournemouth,Manchester City,0.14735083,0.20202176,0.6506274,L
Tottenham,Burnley,0.70936435,0.24397327,0.046662405,W
Swansea,Newcastle United,0.5811204,0.20017894,0.21870069,W
Liverpool,Crystal Palace,0.8159363,0.11476975,0.06929389,W
Crystal Palace,Huddersfield,0.18942718,0.3330181,0.47755474,L
Swansea,West Ham,0.45174626,0.28894046,0.25931332,W
Swansea,Burnley,0.65615124,0.2262398,0.11760894,W
Bournemouth,West Bromwich Albion,0.57819355,0.1798496,0.24195683,W
West Bromwich Albion,Southampton,0.27686033,0.22262941,0.5005103,L
Liverpool,Newcastle United,0.5830971,0.27542207,0.14148083,W
Watford,Chelsea,0.47579995,0.21715842,0.30704165,W
Burnley,Chelsea,0.22400935,0.09616977,0.67982084,L
Stoke,Brighton,0.50401646,0.28376547,0.21221806,W
Tottenham,Huddersfield,0.6621577,0.28187603,0.055966225,W
Leicester,Swansea,0.3097443,0.52386564,0.16639003,D
Manchester United,Everton,0.64400804,0.2807252,0.07526675,W
West Bromwich Albion,Stoke,0.43683547,0.2646533,0.29851124,W
Brighton,West Bromwich Albion,0.47783372,0.25421622,0.26795006,W
Bournemouth,Chelsea,0.24322681,0.19693357,0.55983967,L
West Ham,Huddersfield,0.53928864,0.23646647,0.2242449,W
Arsenal,West Bromwich Albion,0.7431443,0.19982667,0.05702902,W
Watford,Manchester City,0.07351736,0.06691489,0.85956776,L
Newcastle United,West Ham,0.57297516,0.17781176,0.24921308,W
Manchester United,Stoke,0.6044649,0.26597434,0.1295608,W
Southampton,Tottenham,0.24007957,0.28216755,0.4777529,L
Newcastle United,Manchester City,0.080242254,0.06455436,0.8552034,L
Watford,Southampton,0.38435355,0.39687794,0.21876854,D
West Bromwich Albion,Arsenal,0.24322681,0.19693357,0.55983967,L
Tottenham,Everton,0.75573975,0.20082203,0.043438233,W
Manchester United,Southampton,0.724093,0.21686836,0.059038665,W
West Ham,Bournemouth,0.5025665,0.2823538,0.21507967,W
Watford,Leicester,0.39695293,0.26439694,0.33865008,W
Burnley,Liverpool,0.17564093,0.24836023,0.57599884,L
Southampton,Liverpool,0.13995375,0.16905539,0.69099087,L
West Ham,Southampton,0.45499933,0.30629224,0.23870848,W
Swansea,Manchester United,0.42750323,0.32385293,0.24864386,W
Chelsea,Southampton,0.74695545,0.21066006,0.042384427,W
Everton,Swansea,0.4623787,0.19710124,0.34052008,W
West Bromwich Albion,West Ham,0.40654334,0.34131703,0.25213963,W
Brighton,Newcastle United,0.6605707,0.20815258,0.13127674,W
Manchester City,Newcastle United,0.9107994,0.07571945,0.013481155,W
Liverpool,Watford,0.738983,0.15272942,0.10828758,W
West Ham,Watford,0.5042011,0.28130406,0.21449485,W
Arsenal,Watford,0.7711243,0.18379779,0.04507792,W
Manchester United,Huddersfield,0.7657168,0.18572335,0.048559856,W
Stoke,Manchester City,0.074452676,0.06684733,0.8586999,L
