id,name,style
73379,Wojciech Szczesny,0
845,Tomas Rosicky,0
95977,Joel Campbell,0
7895,Julian Speroni,0
3165,Brede Hangeland,0
118326,Dwight Gayle,0
21427,Glenn Murray,0
74606,Kevin Long,0
77461,André Schürrle,0
4384,Didier Drogba,0
90218,Liam Moore,0
73380,Chris Wood,0
14621,Marcin Wasilewski,0
9003,Aiden McGeady,0
9474,Antolin Alcaraz,0
5047,Leon Osman,0
23736,Daniel Sturridge,0
3817,Kolo Touré,0
35003,Chicharito,0
130334,Adnan Januzaj,0
71327,Kyle Bartley,0
70104,Emmanuel Rivière,0
22818,Gabriel Obertan,0
24845,Edin Dzeko,0
43742,Jordon Mutch,0
35460,David Junior Hoilett,0
12774,Alex Bruce,0
19969,Nikica Jelavic,0
38671,Maynor Figueroa,0
14169,Stephen Ireland,0
3807,Peter Crouch,0
42148,Nathan Baker,0
113069,Jack Grealish,0
6695,Jonas Olsson,0
14114,Victor Anichebe,0
94024,Saido Berahino,0
83190,Jason Davidson,0
36521,Brown Ideye,0
5231,Chris Baird,0
21682,Vito Mannone,0
35605,Liam Bridcutt,0
43948,Costel Pantilimon,0
83895,Enner Valencia,0
141510,Reece Burke,0
64343,Adlène Guédioura,0
93475,Ravel Morrison,0
11869,Liam Rosenior,0
7719,Peter Odemwingie,0
72296,Emanuele Giaccherini,0
33799,Mario Balotelli,0
14230,José Enrique,0
12779,Scott Sinclair,0
32741,Abel Hernández,0
22797,Morgan Amalfitano,0
18701,Falcao,0
142438,Sam McQueen,0
41489,Ricardo Álvarez,0
83303,Benjamin Stambouli,0
13796,Theo Walcott,0
18310,Eldin Jakupovic,0
248351,Modou Barrow,0
145999,Jay Fulton,0
13938,Sam Vokes,0
8943,Arouna Koné,0
68855,Nélson Oliveira,0
2837,Jermain Defoe,0
44868,Juan Cuadrado,0
141512,Duncan Watmore,0
19782,Darren Randolph,0
134115,Callum Wilson,0
123167,Tyrone Mings,0
83257,Eunan O'Kane,0
29814,Max Gradel,0
71343,Juan Carlos Paredes,0
4065,Maarten Stekelenburg,0
33891,Jay Rodriguez,0
19736,Lewis Grabban,0
10737,Cameron Jerome,0
124688,Divock Origi,0
67285,Libor Kozák,0
134424,Lee Tomlin,0
140088,Adama Traoré,0
317506,Tammy Abraham,0
136945,Demarai Gray,0
136458,Kieran Dowell,0
33085,Vadis Odjidja-Ofoe,0
93647,Benik Afobe,0
80052,Emmanuel Emenike,0
94030,Jon Flanagan,0
297409,Pedro Chirivella,0
99143,Florian Thauvin,0
16032,Ola Toivonen,0
34974,Bakary Sako,0
299271,Axel Tuanzebe,0
303379,Donald Love,0
111141,Oumar Niasse,0
315544,Kasey Palmer,0
131487,Andre Gray,0
71015,Gökhan Töre,0
243562,Adama Diomande,0
303743,Josh Tymon,0
294139,Luis Hernández,0
24400,Cristhian Stuani,0
26682,Juan Zuñiga,0
34239,Sofiane Feghouli,0
332325,Declan Rice,0
9002,David Marshall,0
108055,Islam Slimani,0
107176,Loris Karius,0
12417,Grant Leadbitter,0
336915,Scott McTominay,0
338497,Angel Gomes,0
260289,Ramadan Sobhi,0
8195,Lee Grant,0
333311,Thomas Edwards,0
14255,Stefano Okaka,0
14199,Claudio Bravo,0
71647,Simone Zaza,0
141469,Dominic Calvert-Lewin,0
135865,Connor Roberts,0
28981,Tomer Hemed,0
33318,Beram Kayal,0
40560,Aleksandar Dragovic,0
101955,Emerson,0
302497,Alexander Sørloth,0
141486,Jacob Murphy,0
343975,Nikola Vlasic,0
11624,Orestis Karnezis,0
105339,Molla Wagué,0
136742,Jan Bednarek,0
106028,Jesé,0
107462,Charlie Taylor,0
342564,Reiss Nelson,0
138785,Joe Lolley,0
92508,Lucas Moura,0
345336,Levi Lumeka,0
124316,Calum Chambers,1
1443,Mikel Arteta,1
84146,Alex Oxlade Chamberlain,1
12124,Scott Dann,1
83078,Kieran Trippier,1
21686,Scott Arfield,1
15464,John Obi Mikel,1
19545,Kasper Schmeichel,1
8157,Wes Morgan,1
1103,Paul Konchesky,1
86794,Anthony Knockaert,1
528,Sylvain Distin,1
78498,Romelu Lukaku,1
37204,Maya Yoshida,1
17909,Graziano Pellè,1
109000,Jesse Lingard,1
107941,Michael Keane,1
20973,Lukasz Fabianski,1
29820,Angel Rangel,1
7778,Mike Williamson,1
63885,Vurnon Anita,1
85693,Rémy Cabella,1
5840,Martín Demichelis,1
31958,Fernando,1
14260,Sergio Agüero,1
57601,Alejandro Faurlin,1
8213,Karl Henry,1
8484,Curtis Davies,1
12714,Paul McShane,1
13794,Stephen Quinn,1
34693,Marko Arnautovic,1
14107,Ron Vlaar,1
79967,Leandro Bacuna,1
11530,Ben Foster,1
101763,Andre Wisdom,1
15782,Graham Dorrans,1
3841,John O'Shea,1
14269,Adam Johnson,1
11235,Sebastian Larsson,1
19674,Jordi Gómez,1
25604,Hugo Lloris,1
83532,Harry Kane,1
103837,Ben Davies,1
42147,Marc Albrighton,1
33930,James Tomkins,1
113275,Alberto Moreno,1
15764,Stephen Ward,1
33064,Victor Moses,1
90907,Tom Carroll,1
68852,Eliaquim Mangala,1
99901,Jores Okore,1
4092,Rafael,1
80067,Matthew Lowton,1
75198,Matty James,1
8137,Joleon Lescott,1
2223,Anthony Réveillere,1
7758,Ryan Taylor,1
8730,Leon Britton,1
122945,Nathan Aké,1
76810,Gabriel Paulista,1
79970,Pape Souaré,1
14075,Jonás Gutiérrez,1
126958,DeAndre Yedlin,1
82745,Jed Steer,1
23547,Angelo Ogbonna,1
13932,Tommy Elphick,1
13846,Dan Gosling,1
14168,Micah Richards,1
67491,Jordan Ayew,1
25241,Craig Cathcart,1
91434,Allan Nyom,1
23220,Matteo Darmian,1
19247,Sebastien Bassong,1
6007,Gary O'Neil,1
86425,Nathan Redmond,1
12480,Ibrahim Afellay,1
18600,Almen Abdi,1
70676,Pedro Obiang,1
136824,Alex Iwobi,1
44055,Pedro,1
316077,Tom Davies,1
33748,Martin Olsson,1
70598,Ivo Pinto,1
122366,Anthony Martial,1
69912,Junior Stanislas,1
81959,Giannelli Imbula,1
76304,Xherdan Shaqiri,1
36096,Miguel Britos,1
19177,Mario Suárez,1
34214,Lamine Koné,1
