team_name,team_rating,att_goal_low_left,won_contest,possession_percentage,total_throws,att_miss_high_left,blocked_scoring_att,total_scoring_att,att_sv_low_left,total_tackle,att_miss_high_right,aerial_won,att_miss_right,att_sv_low_centre,aerial_lost,accurate_pass,total_pass,won_corners,shot_off_target,ontarget_scoring_att,goals,att_miss_left,fk_foul_lost,att_sv_low_right,att_goal_low_centre,total_offside,att_sv_high_left,att_goal_high_left,att_miss_high,att_goal_low_right,att_goal_high_right,att_sv_high_centre,att_post_high,post_scoring_att,att_sv_high_right,penalty_save,att_pen_goal,att_post_right,att_post_left,"att_goal_high_centre
"
Arsenal,7.0,0.6,12.7,58.8,19.8,0.4,4.3,15.4,1.0,18.0,0.6,17.2,1.4,1.4,15.8,479.3,570.4,6.1,5.4,5.7,1.9,1.6,9.9,1.0,0.4,2.2,0.1,0.2,1.1,0.5,0.1,0.3,0.1,0.3,0.2,0.0,0.1,0.1,0.1,0.1
Crystal Palace,6.8,0.3,10.6,44.1,23.7,0.5,3.3,12.0,0.6,18.6,0.5,20.9,1.3,0.9,19.2,259.3,353.7,5.6,4.9,3.8,1.2,1.3,12.4,0.6,0.2,1.8,0.1,0.1,1.1,0.3,0.1,0.2,0.1,0.2,0.2,0.0,0.1,0.1,0.1,0.1
Burnley,6.8,0.2,5.6,42.0,23.2,0.4,2.9,10.5,0.4,15.7,0.3,24.8,1.2,0.9,24.9,242.7,348.8,4.3,4.4,3.3,0.9,1.2,10.4,0.4,0.2,2.3,0.1,0.1,1.0,0.3,0.1,0.3,0.1,0.2,0.2,0.0,0.1,0.0,0.0,0.1
Chelsea,7.0,0.6,13.0,55.6,20.7,0.3,4.2,15.0,0.6,18.7,0.5,15.7,1.5,1.5,14.5,446.6,535.0,6.0,5.5,5.3,1.8,1.6,10.2,0.8,0.4,2.2,0.2,0.1,1.3,0.5,0.1,0.3,0.1,0.2,0.2,0.0,0.1,0.1,0.1,0.1
Leicester,6.8,0.4,9.9,44.0,24.1,0.4,3.2,12.1,0.4,19.5,0.6,20.8,1.5,1.0,24.8,262.2,365.7,5.3,4.9,4.0,1.4,1.3,11.0,0.5,0.3,1.8,0.2,0.1,0.9,0.4,0.1,0.3,0.1,0.2,0.1,0.0,0.1,0.0,0.1,0.1
Everton,6.8,0.5,9.9,51.0,21.2,0.3,3.3,12.1,0.6,18.1,0.4,16.5,1.3,1.3,18.0,361.6,454.5,5.0,4.5,4.3,1.4,1.2,10.7,0.5,0.3,2.0,0.1,0.1,1.2,0.3,0.1,0.3,0.1,0.2,0.2,0.0,0.1,0.1,0.0,0.1
Liverpool,6.9,0.6,11.2,58.9,23.9,0.4,4.9,16.4,0.9,19.9,0.7,16.1,1.5,1.4,17.5,457.0,554.9,6.2,5.9,5.7,1.8,1.5,10.2,0.8,0.3,2.1,0.2,0.1,1.4,0.5,0.2,0.3,0.1,0.3,0.1,0.0,0.1,0.1,0.1,0.1
Southampton,6.8,0.3,8.1,52.0,22.7,0.5,3.3,13.3,0.7,18.8,0.6,17.9,1.6,1.0,18.7,360.8,457.3,5.6,5.7,4.3,1.3,1.5,11.4,0.7,0.2,2.2,0.2,0.1,1.2,0.3,0.2,0.4,0.1,0.3,0.2,0.0,0.1,0.1,0.1,0.1
Manchester United,6.9,0.4,10.6,57.7,22.1,0.3,4.0,13.5,0.6,18.1,0.4,15.5,1.3,1.3,14.5,450.5,537.4,5.8,4.8,4.7,1.5,1.2,12.0,0.6,0.3,2.3,0.2,0.1,1.3,0.5,0.2,0.3,0.1,0.2,0.1,0.0,0.1,0.1,0.1,0.1
Swansea,6.7,0.3,8.4,48.9,21.4,0.4,2.8,10.6,0.5,16.6,0.4,16.1,1.0,0.9,17.7,357.8,446.7,4.4,4.3,3.5,1.1,1.2,10.3,0.5,0.2,1.6,0.1,0.1,1.0,0.3,0.1,0.2,0.1,0.2,0.2,0.0,0.1,0.1,0.1,0.0
