team_name,team_rating,att_goal_low_left,won_contest,possession_percentage,total_throws,att_miss_high_left,blocked_scoring_att,total_scoring_att,att_sv_low_left,total_tackle,att_miss_high_right,aerial_won,att_miss_right,att_sv_low_centre,aerial_lost,accurate_pass,total_pass,won_corners,shot_off_target,ontarget_scoring_att,goals,att_miss_left,fk_foul_lost,att_sv_low_right,att_goal_low_centre,total_offside,att_sv_high_left,att_goal_high_left,att_miss_high,att_goal_low_right,att_goal_high_right,att_sv_high_centre,att_post_high,post_scoring_att,att_sv_high_right,penalty_save,att_pen_goal,att_post_right,att_post_left,"att_goal_high_centre
"
Newcastle United,6.7,0.4,9.8,45.2,23.5,0.3,3.1,11.5,0.5,19.8,0.4,18.5,1.2,1.0,21.2,291.8,387.4,4.8,4.5,3.9,1.1,1.5,11.1,0.7,0.2,1.4,0.1,0.1,0.9,0.3,0.0,0.3,0.1,0.2,0.2,0.0,0.0,0.1,0.1,0.1
Manchester City,7.1,0.8,12.5,63.3,21.5,0.5,4.5,17.0,0.7,17.7,0.5,15.2,1.7,1.4,13.7,528.2,615.4,7.2,6.4,6.1,2.2,1.8,10.5,0.9,0.4,2.0,0.2,0.2,1.6,0.6,0.1,0.3,0.1,0.3,0.3,0.0,0.2,0.1,0.1,0.1
Queens Park Rangers,6.8,0.3,8.1,45.1,23.7,0.4,4.4,14.1,0.4,20.6,0.6,21.7,1.3,1.1,23.9,254.3,359.4,4.7,5.7,3.9,1.1,2.0,11.8,0.6,0.3,2.1,0.2,0.1,1.1,0.2,0.1,0.4,0.2,0.4,0.2,0.1,0.1,0.1,0.0,0.1
Hull,6.7,0.3,6.8,45.0,19.4,0.5,2.6,10.9,0.6,18.3,0.6,18.7,1.4,0.8,18.7,308.3,400.7,4.6,4.9,3.4,0.9,1.2,11.2,0.5,0.2,1.9,0.1,0.1,0.9,0.2,0.1,0.3,0.1,0.3,0.2,0.1,0.1,0.1,0.0,0.0
Stoke,6.8,0.2,9.5,46.8,22.7,0.4,3.0,11.4,0.5,18.3,0.5,22.0,1.4,0.9,18.1,296.2,389.3,4.4,4.9,3.5,1.1,1.3,11.7,0.5,0.1,2.3,0.1,0.1,1.0,0.3,0.1,0.3,0.0,0.2,0.1,0.0,0.1,0.1,0.1,0.1
Aston Villa,6.7,0.2,9.3,47.7,22.8,0.5,2.7,10.5,0.5,17.8,0.4,18.8,1.3,0.9,17.4,328.4,418.7,4.5,4.7,3.1,0.8,1.1,11.0,0.5,0.1,1.5,0.1,0.1,1.2,0.2,0.1,0.2,0.0,0.2,0.1,0.0,0.0,0.1,0.1,0.1
West Bromwich Albion,6.7,0.3,7.6,40.2,21.8,0.5,2.7,10.4,0.4,16.8,0.5,18.8,1.2,0.7,18.8,245.5,340.4,4.6,4.6,3.1,1.0,1.4,11.2,0.5,0.2,1.8,0.1,0.1,0.9,0.3,0.1,0.2,0.1,0.2,0.2,0.0,0.0,0.0,0.0,0.1
Sunderland,6.7,0.3,8.4,41.9,20.7,0.3,3.3,10.8,0.4,18.9,0.5,16.3,1.5,0.9,16.1,254.9,347.4,4.4,4.1,3.4,0.9,0.9,11.2,0.5,0.2,2.1,0.2,0.0,0.8,0.2,0.1,0.2,0.1,0.1,0.2,0.0,0.1,0.0,0.0,0.1
West Ham,6.8,0.4,9.8,46.4,22.7,0.3,3.4,12.6,0.5,16.8,0.5,19.9,1.4,0.9,18.7,292.6,382.2,5.3,5.2,4.0,1.3,1.5,10.5,0.8,0.2,2.3,0.1,0.1,1.2,0.4,0.2,0.2,0.2,0.3,0.2,0.0,0.1,0.1,0.1,0.1
Tottenham,7.0,0.6,10.9,59.2,25.8,0.4,4.6,16.3,0.8,19.1,0.6,15.4,1.6,1.7,15.0,430.7,524.9,6.6,5.8,5.9,1.9,1.6,11.3,0.9,0.3,2.0,0.2,0.1,1.3,0.5,0.2,0.3,0.1,0.3,0.2,0.0,0.1,0.1,0.1,0.1
Bournemouth,6.7,0.4,10.4,50.3,23.9,0.5,3.4,12.1,0.6,16.0,0.4,16.2,1.2,1.0,17.2,352.1,443.4,5.5,4.6,4.0,1.3,1.1,9.4,0.6,0.2,1.5,0.1,0.1,1.1,0.4,0.1,0.4,0.1,0.2,0.2,0.0,0.1,0.1,0.1,0.1
Watford,6.7,0.3,8.8,47.0,23.6,0.5,3.1,11.5,0.4,18.2,0.5,19.7,1.3,1.0,20.2,287.4,388.0,4.5,4.7,3.6,1.1,1.5,12.4,0.5,0.2,1.6,0.1,0.1,0.8,0.3,0.1,0.3,0.1,0.2,0.2,0.0,0.1,0.0,0.0,0.1
Norwich,6.6,0.3,8.4,45.9,24.4,0.4,2.6,11.0,0.6,16.0,0.4,17.4,1.2,0.8,18.3,280.6,381.1,5.0,5.0,3.4,1.0,1.4,11.0,0.5,0.2,2.4,0.2,0.1,1.4,0.3,0.1,0.3,0.1,0.2,0.1,0.0,0.0,0.1,0.1,0.1
Middlesbrough,6.7,0.2,10.5,47.3,19.6,0.3,2.7,9.2,0.4,19.1,0.4,20.4,1.1,0.8,20.2,320.2,414.1,3.7,3.9,2.6,0.7,1.4,12.7,0.4,0.1,1.3,0.1,0.1,0.6,0.1,0.1,0.2,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.1
Huddersfield,6.6,0.3,7.2,45.7,24.4,0.2,2.9,9.5,0.6,19.5,0.3,21.0,1.1,0.8,21.3,291.2,393.5,4.4,3.7,2.9,0.7,1.2,10.4,0.4,0.1,1.8,0.1,0.0,0.9,0.1,0.1,0.2,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0
Brighton,6.7,0.1,7.8,43.4,20.9,0.5,2.6,10.1,0.5,15.7,0.4,21.3,1.2,0.9,20.9,289.3,386.1,4.3,4.4,3.1,0.9,1.0,10.9,0.2,0.2,2.6,0.1,0.1,1.1,0.3,0.1,0.4,0.1,0.2,0.1,0.1,0.1,0.1,0.0,0.1
